"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cognitive_tbl6,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>CGIC</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[cgic_data] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:cgic"
cgic_data,clinical_data,,radio,"CGIC available?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
cognitive_tbl7,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>PGIC</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[pgic_data] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:pgic"
pgic_data,clinical_data,,radio,"PGIC available?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
diag_tbl0,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>DIAGNOSIS</strong></span></h5> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
diag_tbl2,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>INITIAL DIAGNOSIS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.066%; height: 45.5313px;"" border=""0""> <tbody> <tr style=""height: 24.6667px;""> <td style=""width: 99.9868%;"" colspan=""2"">Date of diagnosis: {date_diagnosis}<span style=""font-weight: normal;""> ([age_diagnosis] y.o.)</span></td> </tr> <tr style=""height: 20.8646px;""> <td style=""width: 99.9868%;"" colspan=""2""> <p>Initial diagnosis: {initial_diagnosis}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
initial_diagnosis,diagnosis,,radio,"Initial Diagnosis","1, Classical ALS (Progressive UMN + LMN impairment) | 2, Pure LMN impairment | 3, Pure UMN impairment | 4, FOSMN (Facial Onset-Sensory and Motor Neuronopathy)",,,,,,,y,LH,,,," @COLUMNS=1"
diag_tbl1,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.066%; height: 87.0926px;"" border=""0""> <tbody> <tr style=""height: 73.0903px;""> <td style=""width: 99.9868%;"" colspan=""2""> <p>ALS diagnostic classification (El Escorial Revised)</p> <p>{eer_category}</p> </td> </tr> <tr style=""height: 14.0023px;""> <td colspan=""2""> <p>Does the patient meet GOLD COAST Criteria <span style=""font-weight: normal;"">(Progressive UMN + LMN impairment in ≥ one region; OR progressive isolated LMN impairment in two regions)</span>? {gold_coast_crit_yn}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
date_diagnosis,diagnosis,,text,"Date of the diagnosis",,"If the exact date is unknown, set it to the 15th of the month or the mid-year (July 2nd).",date_dmy,[basic_arm_1][date_clinical_onset],today,y,,,LV,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
age_diagnosis,diagnosis,,calc,"Age at the diagnosis","round(datediff([basic_arm_1][date_diagnosis],[basic_arm_1][dob],'y'),2)",,,,,,,,LV,,,," @HIDDEN"
final_diagnosis,diagnosis,,radio,"Final Diagnosis","1, Classical ALS (Progressive UMN + LMN impairment in ≥ one region; OR progressive isolated LMN impairment in two regions with < 4 years of survival) | 2, Progressive Muscular Atrophy (progressive LMN impairment in two regions; AND > 4 years of survival) | 3, Primary Lateral Sclerosis (progressive UMN impairment in two regions; AND > 4 years of survival) | 4, FOSMN (Facial Onset Sensory and Motor Neuronopathy)",,,,,,,y,LH,,,," @COLUMNS=1"
eer_category,diagnosis,,radio,"ALS diagnostic classification (El Escorial Revised)","0, Not meeting criteria (LMN or UMN signs in only one region; OR only in LMN signs) | 1, Definite ALS (UMN + LMN signs in three regions) | 2, Probable ALS (UMN + LMN signs in = two regions with UMN sign rostral to LMN signs) | 3, Probable ALS, laboratory results supported (UMN + LMN signs in one region with EMG evidence of LMN in another region) | 4, Possible ALS (UMN + LMN signs in one region; OR UMN signs in ≥ two regions, such as monomelic ALS, progressive bulbar palsy, and primary lateral sclerosis)","UMN-upper motor neuron; LMN-lower motor neuron",,,,,,y,LV,,,," @COLUMNS=1"
gold_coast_crit_yn,diagnosis,,yesno,"Gold Coast Criteria (Yes/No)",,,,,,,,y,,,,,
diag_tbl3,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>FINAL DIAGNOSIS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.066%; height: 16.9074px;"" border=""0""> <tbody> <tr style=""height: 16.9074px;""> <td style=""width: 99.9868%;"" colspan=""2""> <p>Final diagnosis: {final_diagnosis}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
atrophy_alert,diagnosis,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""color: #e03e2d; font-size: 12pt;"">ALERT!! Do not diagnose as Progressive Muscular Atrophy until >4 years of survival</span></p></div>",,,,,,,"[final_diagnosis] = '2'",,,,,,
fvc_dic,diagnosis,,radio,"Forced Vital Capacity Information","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
respiratory_tbl14,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>RESPIRATORY DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 19.4306px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 19.4306px;""> <td style=""width: 100.021%; text-align: left;"">Forced Vital Capacity Data and other Spirometry Data? {fvc_dic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
fvc_tbl7,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>FORCED VITAL CAPACITY INFORMATION AND OTHER SPIROMETRY DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[fvc_dic] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:fvc_info"
respiratory_tbl13,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; text-align: left;"">Add advanced information about repiratory data? {respiratory_data}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
respiratory_data,diagnosis,,radio,"Advanced respiratory data available","0, No | 1, Yes",,,,,,,y,LH,,,,
respiratory_tbl8,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>ADVANCED RESPIRATORY DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[respiratory_data] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:advanced_respiratory_data
@INSTANCETABLE_VARLIST=respiratory_date,mip_cmh2o,mep_cmh2o,snip,spo2_media,ph,pco2,po2,hco3,spo2_arterial"
assessment_tbl4,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; background-color: #003b75; height: 39.4549px;"" border=""0""> <tbody> <tr style=""height: 39.4549px;""> <td style=""width: 99.8797%; text-align: center; height: 39.4549px;"" colspan=""2""> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>BIOMARKERS ANALYSES</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9342%; height: 196.111px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is there information on neurofilament levels in CSF or plasma? {nfl_data}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is there information on OTHER liquid biomarkers? {other_liquid_biomarkers}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is there advanced biomarkers information from blood analysis? {blood_analysis}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is electromyography (EMG) data available? {emg}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is there a Transcranial Magnetic Stimulation (TMS) available? {tms}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is there a PET scan available? {pet}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is there a MRI available? {rm}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
nfl_tbl2,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>NEUROFILAMENT LEVELS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[nfl_data]=1,,,,,," @INSTANCETABLE=visits_arm_1:nfl_data"
nfl_data,diagnosis,,radio,"Neurofilament levels in CSF or plasma?","0, No | 1, Yes | 98, Unknown",,,,,,,,,,,," @DEFAULT='98' @COLUMNS=3"
liq_biom_tbl2,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>OTHER LIQUID BIOMARKERS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[other_liquid_biomarkers]=1,,,,,," @INSTANCETABLE=visits_arm_1:liquid_biomarkers"
other_liquid_biomarkers,diagnosis,,radio,"Other Liquid Biomarkers?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
anthr_tbl8,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 10px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>ADVANCED BIOMARKERS INFORMATION : BLOOD ANALYSIS DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.063%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8117%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new information</span></em></td> </tr> </tbody> </table></div>",,,,,,,[blood_analysis]=1,,,,,," @INSTANCETABLE=visits_arm_1:blood_analysis
@INSTANCETABLE_VARLIST=date_bloodanalysis"
blood_analysis,diagnosis,,radio,"Advanced Information: Blood Analysis","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
emg_tbl,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>ELECTROMYOGRAPHY (EMG) DATA </strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[emg]=1,,,,,," @INSTANCETABLE=visits_arm_1:emg
@INSTANCETABLE_VARLIST=emg_date,emg_blocks_nerve,split_r,split_l,s1split_r,s2split_l"
emg,diagnosis,,radio,"EMG data ?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
tms_tbl,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>TRANSCRANIAL MAGNETIC STIMULATION (TMS) DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[tms]=1,,,,,," @INSTANCETABLE=visits_arm_1:tms
@INSTANCETABLE_VARLIST=tms_date,tms_cct,tms_mepa"
tms,diagnosis,,radio,"TMS data ?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
pet_tbl,diagnosis,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>POSITION EMISSION TOMOGRAPHY (PET)</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.5139px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.8939%; text-align: left;"">Date of PET: {pet_date} <span style=""font-weight: normal;"">([pet_age] y.o.)</span></td> </tr> <tr> <td style=""width: 99.8939%; text-align: left;"">PET result: {pet_result}</td> </tr> </tbody> </table></div>",,,,,,,[pet]=1,,,,,,
pet,diagnosis,,radio,"PET scan ?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
pet_date,diagnosis,,text,"Date of the PET Scan",,,date_dmy,[basic_arm_1][date_clinical_onset],today,y,,,LV,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
